代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,是否次新股
sz300308,中际旭创,606.0,36.0,6.316,606.0,606.04,570.0,570.09,613.0,568.54,37129333.0,22178752621.0,16:29:00,False
sz300476,胜宏科技,318.05,31.04,10.815,318.04,318.05,287.01,289.97,318.08,288.71,69197781.0,21319274518.0,16:29:00,False
sz300502,新易盛,419.13,14.61,3.612,419.13,419.14,404.52,404.83,426.5,402.03,48343738.0,20184805687.0,16:29:15,False
sh601138,工业富联,67.99,4.58,7.223,67.99,68.0,63.41,64.0,68.38,63.18,293803972.0,19562027296.0,15:00:01,False
sz300394,天孚通信,240.15,3.25,1.372,240.15,240.16,236.9,236.0,242.0,231.11,57901761.0,13739523934.0,16:29:45,False
sz000547,航天发展,22.13,0.13,0.591,22.13,22.14,22.0,21.5,23.0,21.48,613769330.0,13670745955.0,15:00:00,False
sh688256,寒武纪,1436.0,18.2,1.284,1436.0,1436.03,1417.8,1375.0,1457.57,1368.0,9059417.0,12892588911.0,15:34:59,False
sz300274,阳光电源,186.0,1.72,0.933,186.0,186.01,184.28,183.88,191.6,181.1,63969388.0,11933271588.0,16:29:15,False
sz300475,香农芯创,145.84,2.48,1.73,145.83,145.84,143.36,140.82,150.88,138.18,69714645.0,10152884885.0,16:29:45,False
sz002050,三花智控,45.96,-0.84,-1.795,45.95,45.96,46.8,45.81,46.97,45.58,169581445.0,7835680866.0,15:00:00,False
sz002463,沪电股份,73.85,2.59,3.635,73.85,73.86,71.26,70.81,75.48,70.3,105935947.0,7748653868.0,15:00:00,False
sz000063,中兴通讯,42.37,0.14,0.332,42.36,42.37,42.23,42.02,43.6,42.0,176312787.0,7555512538.0,15:00:00,False
sz300750,宁德时代,387.59,-4.91,-1.251,387.58,387.59,392.5,391.5,392.26,386.0,18691773.0,7255076087.0,16:29:15,False
sz300456,赛微电子,55.12,1.47,2.74,55.12,55.13,53.65,53.0,56.4,51.0,128304336.0,6941742982.0,16:29:00,False
sz000977,浪潮信息,64.38,1.69,2.696,64.38,64.39,62.69,66.0,67.0,64.18,102846021.0,6717068714.0,15:00:00,False
sz002475,立讯精密,60.6,0.52,0.866,60.59,60.6,60.08,60.07,61.51,59.6,110658149.0,6714668917.0,15:00:00,False
sh600343,航天动力,32.01,0.97,3.125,32.0,32.01,31.04,30.29,33.85,28.6,207976776.0,6346319690.0,15:00:01,False
sz002384,东山精密,77.8,2.44,3.238,77.79,77.8,75.36,75.0,79.53,74.02,82160115.0,6311261501.0,15:00:00,False
sz300059,东方财富,23.28,-0.36,-1.523,23.27,23.28,23.64,23.4,23.63,23.16,269716787.0,6293632699.0,16:29:45,False
sh600734,实达集团,6.47,-0.23,-3.433,6.46,6.47,6.7,6.84,7.25,6.42,897501818.0,6178745402.0,15:00:03,False
sz000901,航天科技,24.82,1.47,6.296,24.81,24.82,23.35,23.82,25.69,23.55,251675904.0,6158056771.0,15:00:00,False
sh601899,紫金矿业,30.4,-1.1,-3.492,30.4,30.41,31.5,31.18,31.23,30.18,199092649.0,6086281908.0,15:00:00,False
sz002413,雷科防务,9.78,0.89,10.011,9.78,0.0,8.89,8.66,9.78,8.65,632108728.0,6052708909.0,15:00:00,False
sz300102,乾照光电,26.28,2.69,11.403,26.27,26.28,23.59,23.26,27.28,23.26,237520448.0,6018145583.0,16:29:30,False
sh600519,贵州茅台,1401.01,-17.21,-1.213,1401.01,1401.02,1418.22,1418.23,1421.0,1400.05,4263443.0,5995722121.0,15:00:03,False
sz300115,长盈精密,43.5,-1.72,-3.804,43.5,43.51,45.22,43.67,44.67,43.0,134077693.0,5855716647.0,16:30:00,False
sz002565,顺灏股份,13.2,0.11,0.84,13.2,13.21,13.09,13.32,14.4,13.09,417469135.0,5724297827.0,15:00:00,False
sz301308,江波龙,270.37,-2.63,-0.963,270.37,270.38,273.0,269.03,282.39,267.8,20675400.0,5664726193.0,16:29:00,False
sz300620,光库科技,168.87,1.62,0.969,168.87,168.88,167.25,167.09,176.0,166.76,32491193.0,5540224967.0,16:29:45,False
sh688795,C摩尔,628.31,34.06,5.732,628.31,628.5,594.25,579.85,628.86,576.6,9026828.0,5478430782.0,15:34:59,False
sz000592,平潭发展,12.02,-0.68,-5.354,12.01,12.02,12.7,12.3,12.65,11.68,448231739.0,5462688762.0,15:00:00,False
sz000988,华工科技,80.36,0.78,0.98,80.36,80.37,79.58,79.93,81.99,79.6,67546381.0,5449401601.0,15:00:00,False
sz001309,德明利,222.7,0.28,0.126,222.7,222.87,222.42,223.0,233.5,218.55,22548101.0,5110250524.0,15:00:00,False
sh688205,德科立,165.02,27.5,19.997,165.02,0.0,137.52,141.99,165.02,140.1,31561364.0,5007749813.0,15:00:03,False
sh603083,剑桥科技,120.16,2.16,1.831,120.16,120.17,118.0,120.0,123.7,118.28,40300847.0,4898978156.0,15:00:00,False
sz300548,长芯博创,134.3,1.0,0.75,134.29,134.3,133.3,130.5,137.82,130.5,36565957.0,4880693087.0,16:29:00,False
sh600879,航天电子,13.29,-0.12,-0.895,13.29,13.3,13.41,13.0,13.62,12.97,365394648.0,4855790175.0,15:00:01,False
sh600150,中国船舶,34.56,0.82,2.43,34.56,34.57,33.74,34.66,35.48,34.56,138563026.0,4844075788.0,15:00:01,False
sh688041,海光信息,219.3,-1.58,-0.715,219.2,219.3,220.88,217.94,223.73,215.99,21965720.0,4828485337.0,15:34:59,False
sh603993,洛阳钼业,17.55,-1.14,-6.1,17.55,17.56,18.69,18.39,18.39,17.41,269305897.0,4781296677.0,15:00:03,False
sz002837,英维克,78.64,2.27,2.972,78.63,78.64,76.37,76.89,79.94,76.5,60417898.0,4729759528.0,15:00:00,False
